id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,source_image
454,മലയാള സർവ്വകലാശാലയുടെ മുഖപത്രം ഏതാണ്?,എഴുത്തോല,വിജ്ഞാനകൈരളി,കേളി,തളിര്,A,മലയാള സർവ്വകലാശാലയുടെ മുഖപത്രം എഴുത്തോലയാണ്.,General Knowledge,IMG_6499.jpg
455,കേരള വനവകുപ്പിന്റെ മുഖപത്രം ഏതാണ്?,ആരണ്യകം,വിജ്ഞാനകൈരളി,കേളി,തളിര്,A,കേരള വനവകുപ്പിന്റെ മുഖപത്രം ആരണ്യകമാണ്.,General Knowledge,IMG_6499.jpg
456,കേരള സാഹിത്യ അക്കാദമിയുടെ മുഖപത്രം ഏതാണ്?,സാഹിത്യലോകം,വിജ്ഞാനകൈരളി,കേളി,തളിര്,A,കേരള സാഹിത്യ അക്കാദമിയുടെ മുഖപത്രം സാഹിത്യലോകമാണ്.,General Knowledge,IMG_6499.jpg
457,കേരള ബാല സാഹിത്യ ഇൻസ്റ്റിറ്റ്യൂട്ടിന്റെ മുഖപത്രം ഏതാണ്?,തളിര്,വിജ്ഞാനകൈരളി,കേളി,സാഹിത്യലോകം,A,കേരള ബാല സാഹിത്യ ഇൻസ്റ്റിറ്റ്യൂട്ടിന്റെ മുഖപത്രം തളിരാണ്.,General Knowledge,IMG_6499.jpg
458,"""God of Small Things"" എന്ന കൃതിയുടെ വിവർത്തനം ഏതാണ്?",കുഞ്ഞുകാര്യങ്ങളുടെ ഒടേതമ്പുരാൻ,പാവങ്ങൾ,കുറ്റവും ശിക്ഷയും,മൂലധനം,A,"""God of Small Things"" എന്ന കൃതിയുടെ വിവർത്തനം കുഞ്ഞുകാര്യങ്ങളുടെ ഒടേതമ്പുരാൻ എന്നാണ്.",Literature,IMG_6499.jpg
459,"""Les Miserables"" എന്ന കൃതിയുടെ വിവർത്തനം ഏതാണ്?",കുഞ്ഞുകാര്യങ്ങളുടെ ഒടേതമ്പുരാൻ,പാവങ്ങൾ,കുറ്റവും ശിക്ഷയും,മൂലധനം,B,"""Les Miserables"" എന്ന കൃതിയുടെ വിവർത്തനം പാവങ്ങൾ എന്നാണ്.",Literature,IMG_6499.jpg
460,"""Crime and Punishment"" എന്ന കൃതിയുടെ വിവർത്തനം ഏതാണ്?",കുഞ്ഞുകാര്യങ്ങളുടെ ഒടേതമ്പുരാൻ,പാവങ്ങൾ,കുറ്റവും ശിക്ഷയും,മൂലധനം,C,"""Crime and Punishment"" എന്ന കൃതിയുടെ വിവർത്തനം കുറ്റവും ശിക്ഷയും എന്നാണ്.",Literature,IMG_6499.jpg
461,"""Das Capital"" എന്ന കൃതിയുടെ വിവർത്തനം ഏതാണ്?",കുഞ്ഞുകാര്യങ്ങളുടെ ഒടേതമ്പുരാൻ,പാവങ്ങൾ,കുറ്റവും ശിക്ഷയും,മൂലധനം,D,"""Das Capital"" എന്ന കൃതിയുടെ വിവർത്തനം മൂലധനം എന്നാണ്.",Literature,IMG_6499.jpg
462,"""War and Peace"" എന്ന കൃതിയുടെ വിവർത്തനം ഏതാണ്?",കുഞ്ഞുകാര്യങ്ങളുടെ ഒടേതമ്പുരാൻ,പാവങ്ങൾ,കുറ്റവും ശിക്ഷയും,യുദ്ധവും സമാധാനവും,D,"""War and Peace"" എന്ന കൃതിയുടെ വിവർത്തനം യുദ്ധവും സമാധാനവും എന്നാണ്.",Literature,IMG_6499.jpg
463,2024-ലെ എഴുത്തച്ഛൻ പുരസ്കാരം ആർക്കാണ് ലഭിച്ചത്?,എൻ എസ് മാധവൻ,കെ അരവിന്ദാക്ഷൻ,അശോകൻ ചരുവിൽ,കെ ജയകുമാർ,A,2024-ലെ എഴുത്തച്ഛൻ പുരസ്കാരം എൻ എസ് മാധവനാണ് ലഭിച്ചത്.,Awards,IMG_6499.jpg
464,2024-ലെ ഓടക്കുഴൽ പുരസ്കാരം ആർക്കാണ് ലഭിച്ചത്?,എൻ എസ് മാധവൻ,കെ അരവിന്ദാക്ഷൻ,അശോകൻ ചരുവിൽ,കെ ജയകുമാർ,B,2024-ലെ ഓടക്കുഴൽ പുരസ്കാരം കെ അരവിന്ദാക്ഷനാണ് ലഭിച്ചത്.,Awards,IMG_6499.jpg
465,2024-ലെ വയലാർ പുരസ്കാരം ആർക്കാണ് ലഭിച്ചത്?,എൻ എസ് മാധവൻ,കെ അരവിന്ദാക്ഷൻ,അശോകൻ ചരുവിൽ,കെ ജയകുമാർ,C,2024-ലെ വയലാർ പുരസ്കാരം അശോകൻ ചരുവിലിനാണ് ലഭിച്ചത്.,Awards,IMG_6499.jpg
466,2024-ലെ കേന്ദ്രസാഹിത്യ അക്കാദമി പുരസ്കാരം ആർക്കാണ് ലഭിച്ചത്?,എൻ എസ് മാധവൻ,കെ അരവിന്ദാക്ഷൻ,അശോകൻ ചരുവിൽ,കെ ജയകുമാർ,D,2024-ലെ കേന്ദ്രസാഹിത്യ അക്കാദമി പുരസ്കാരം കെ ജയകുമാറിനാണ് ലഭിച്ചത്.,Awards,IMG_6499.jpg
467,2024-ലെ ഒ.എൻ.വി സാഹിത്യ പുരസ്കാരം ആർക്കാണ് ലഭിച്ചത്?,പ്രതിഭ റായ്,കെ അരവിന്ദാക്ഷൻ,അശോകൻ ചരുവിൽ,കെ ജയകുമാർ,A,2024-ലെ ഒ.എൻ.വി സാഹിത്യ പുരസ്കാരം പ്രതിഭ റായിക്കാണ് ലഭിച്ചത്.,Awards,IMG_6499.jpg
468,2024-ലെ തോപ്പിൽ ഭാസി പുരസ്കാരം ആർക്കാണ് ലഭിച്ചത്?,പെരുമ്പടവം ശ്രീധരൻ,കെ അരവിന്ദാക്ഷൻ,അശോകൻ ചരുവിൽ,കെ ജയകുമാർ,A,2024-ലെ തോപ്പിൽ ഭാസി പുരസ്കാരം പെരുമ്പടവം ശ്രീധരനാണ് ലഭിച്ചത്.,Awards,IMG_6499.jpg
469,2024-ലെ ആശാൻ സ്മാരക കവിത പുരസ്കാരം ആർക്കാണ് ലഭിച്ചത്?,വി എം ഗിരിജ,കെ അരവിന്ദാക്ഷൻ,അശോകൻ ചരുവിൽ,കെ ജയകുമാർ,A,2024-ലെ ആശാൻ സ്മാരക കവിത പുരസ്കാരം വി എം ഗിരിജയ്ക്കാണ് ലഭിച്ചത്.,Awards,IMG_6499.jpg
470,Hindi is the official language of which country?,Pakistan,Bangladesh,India,Nepal,C,Hindi is the official language of the Republic of India.,Hindi,IMG_6500.jpg
471,Approximately how many people speak Hindi in India?,1.3 million,13 million,130 million,1.3 billion,D,Hindi is spoken by most of the country's 1.3 billion people.,Hindi,IMG_6500.jpg
472,Which of the following languages is related to Hindi?,French,German,Sanskrit,Japanese,C,Hindi is an Indo-Aryan language related to languages such as Sanskrit and Punjabi.,Hindi,IMG_6500.jpg
473,In what script is Hindi written?,Roman,Cyrillic,Devanagari,Greek,C,Hindi is written in the Devanagari script.,Hindi,IMG_6500.jpg
474,The earliest known examples of Hindi date back to which century?,8th century,9th century,10th century,11th century,C,The earliest known examples of Hindi date back to the 10th century.,Hindi,IMG_6500.jpg
475,The Khari Boli dialect is the basis for which form of Hindi?,Ancient Hindi,Modern Standard Hindi,Rural Hindi,Classical Hindi,B,The Khari Boli dialect is the basis for Modern Standard Hindi.,Hindi,IMG_6500.jpg
476,During which period was a standardized form of Hindi developed?,Mughal Empire,British colonial period,Gupta Empire,Mauryan Empire,B,A standardized form of Hindi was developed during the British colonial period.,Hindi,IMG_6500.jpg
477,Approximately how many people speak Hindi in India and around the world?,26 million,260 million,2.6 billion,26 billion,B,Hindi is an Indo-Aryan language spoken by over 260 million people in India and around the world.,Hindi,IMG_6500.jpg
478,Which of the following Indian states has Hindi as an official language?,Tamil Nadu,Karnataka,Uttar Pradesh,Andhra Pradesh,C,"Hindi is the official language of the Indian states of Uttar Pradesh, Uttarakhand, Chhattisgarh, and Madhya Pradesh.",Hindi,IMG_6500.jpg
479,Hindi is part of which language family?,Sino-Tibetan,Austro-Asiatic,Indo-Aryan,Dravidian,C,Hindi is a part of the Indo-Aryan language family.,Hindi,IMG_6500.jpg
480,Hindi is the ______ most spoken language in the world.,Second,Third,Fourth,Fifth,C,"Hindi is the fourth most spoken language in the world, after Mandarin Chinese, Spanish, and English.",Hindi,IMG_6500.jpg
481,In which century was the Devanagari script developed?,5th century CE,6th century CE,7th century CE,8th century CE,C,The Devanagari script was developed in the 7th century CE.,Hindi,IMG_6500.jpg
482,The Devanagari script is named after a town located in which present-day state of India?,Maharashtra,Gujarat,Rajasthan,Uttar Pradesh,B,"The Devanagari script is named after the town of Devanagar, which is located in the present-day state of Gujarat in India.",Hindi,IMG_6500.jpg
483,The earliest known texts written in Hindi are written in a form of Sanskrit known as:,New Hindi,Modern Hindi,Old Hindi or Hindavi,Classical Hindi,C,The earliest known texts written in Hindi are written in a form of Sanskrit known as Old Hindi or Hindavi.,Hindi,IMG_6500.jpg
484,When was Modern Hindi developed?,During the Mughal Empire,During the British Raj in India,During the Gupta Empire,During the Delhi Sultanate,B,Modern Hindi was developed during the British Raj in India.,Hindi,IMG_6500.jpg
485,Approximately how many cells are estimated to make up the human body?,3.72 billion,37.2 million,37.2 trillion,372 trillion,C,The human body is estimated to be composed of 37.2 trillion cells.,Science,IMG_6515.jpg
486,What is the approximate quantity of blood in the human body?,1-2 litres,5-6 litres,10-12 litres,15-16 litres,B,The human body contains approximately 5-6 litres of blood.,Science,IMG_6515.jpg
487,How many bones are there in the human skeletal system in adults?,200,206,212,218,B,The adult human skeletal system has 206 bones.,Science,IMG_6515.jpg
488,Which of the following is the largest organ in the human body?,Liver,Heart,Skin,Brain,C,The skin is the largest organ in the human body.,Science,IMG_6515.jpg
489,Which of the following is the largest gland in the human body?,Thyroid,Liver,Pancreas,Pituitary,B,The liver is the largest gland in the human body.,Science,IMG_6515.jpg
490,How many blood groups are there in the ABO system?,2,4,6,8,B,"There are 4 blood groups in the ABO system: A, B, AB, and O.",Science,IMG_6515.jpg
491,How many chambers does the human heart have?,2,3,4,5,C,The human heart has 4 chambers: two atria and two ventricles.,Science,IMG_6515.jpg
492,What is the average blood pressure of a healthy human being?,80/60 mmHg,100/70 mmHg,120/80 mmHg,140/90 mmHg,C,The average blood pressure of a healthy human being is 120/80 mmHg.,Science,IMG_6515.jpg
493,What is the average weight of the human brain?,1.0 kg,1.36 kg,1.5 kg,2.0 kg,B,The average weight of the human brain is 1.36 kg.,Science,IMG_6515.jpg
494,What is the name of the covering of the central nervous system?,Cranium,Meninges,Vertebrae,Periosteum,B,The covering of the central nervous system is called the meninges.,Science,IMG_6515.jpg
495,"Which part of the brain controls anger, fear, and body temperature?",Cerebrum,Cerebellum,Hypothalamus,Medulla Oblongata,C,"The hypothalamus controls anger, fear, and body temperature.",Science,IMG_6515.jpg
496,Which part of the brain occupies approximately 80% of its volume?,Cerebrum,Cerebellum,Brainstem,Thalamus,A,The cerebrum occupies about 80% of the brain's volume.,Science,IMG_6515.jpg
497,Which gland is known as the 'master gland' of the body?,Thyroid gland,Adrenal gland,Pituitary gland,Pineal gland,C,The pituitary gland is often called the 'master gland' because it controls other glands.,Science,IMG_6515.jpg
498,Approximately how much urine does a healthy human pass each day?,500 ml,1000 ml,1500 ml,2000 ml,C,A healthy human passes about 1500 ml of urine each day.,Science,IMG_6515.jpg
499,What is the average weight of the heart in a human being?,150 gm,200 gm,300 gm,400 gm,C,The average weight of the heart in a human being is 300 gm.,Science,IMG_6515.jpg
500,What is the covering of the heart called?,Pleura,Pericardium,Peritoneum,Endocardium,B,The covering of the heart is called the pericardium.,Science,IMG_6515.jpg
501,How many pairs of ribs are there in the human thorax?,10 pairs,12 pairs,14 pairs,16 pairs,B,There are 12 pairs of ribs in the human thorax.,Science,IMG_6515.jpg
502,What percentage of calcium is stored in the bones?,75%,85%,97%,99%,C,97% of the calcium in the body is stored in the bones.,Science,IMG_6515.jpg
503,Which acid is secreted from the stomach?,Sulfuric acid,Nitric acid,Hydrochloric acid (HCl),Acetic acid,C,Hydrochloric acid (HCl) is secreted from the stomach to aid in digestion.,Science,IMG_6515.jpg
504,Approximately how much gastric juice is secreted from the stomach daily?,1 litre,2 litres,3 litres,4 litres,B,About 2 litres of gastric juice are secreted from the stomach daily.,Science,IMG_6515.jpg
505,Which of the following is a mixed gland in the human body?,Thyroid,Adrenal,Pancreas,Pituitary,C,The pancreas is a mixed gland because it has both endocrine and exocrine functions.,Science,IMG_6515.jpg
506,What is the biological process by which new individual organisms are produced from their parents?,Transportation,Respiration,Reproduction,Photosynthesis,C,Reproduction is the process by which offspring are produced from their parents.,Science,IMG_6509.jpg
507,Which of the following is NOT a form of reproduction?,Asexual,Sexual,Transportation,Both A and B,C,Asexual and sexual are the two forms of reproduction.,Science,IMG_6509.jpg
508,What is the process that involves the movement of water and nutrients to all parts of the plant?,Respiration,Transportation,Reproduction,Photosynthesis,B,Transportation is the process that moves water and nutrients throughout the plant.,Science,IMG_6509.jpg
509,Which of the following are the two main components of a plant's transport system?,Roots and stems,Leaves and flowers,Xylem and phloem,Chloroplasts and mitochondria,C,Xylem and phloem are the two main components of the plant's transport system.,Science,IMG_6509.jpg
510,What does xylem help transport in plants?,Food,Water,Carbon dioxide,Oxygen,B,Xylem helps in the upward transportation of water.,Science,IMG_6509.jpg
511,What does phloem help transport in plants?,Water,Minerals,Food,Oxygen,C,Phloem helps in the transportation of food from the leaves to other plant parts.,Science,IMG_6509.jpg
512,"What do plants need, like other animals, to survive?",Sunlight,Water,Energy,Carbon Dioxide,C,"Plants, like other animals, also need energy to survive.",Science,IMG_6509.jpg
513,"Plants get energy through the process of respiration, in which glucose breaks down in the presence of what?",Nitrogen,Carbon Dioxide,Oxygen,Hydrogen,C,"Plants get energy through respiration, where glucose breaks down in the presence of oxygen.",Science,IMG_6509.jpg
514,What is released during respiration in plants?,Glucose,Oxygen,Carbon dioxide and water,Nitrogen,C,"During respiration, glucose breaks down into carbon dioxide and water, releasing energy.",Science,IMG_6509.jpg
515,What do plants take in from the air for respiration?,Carbon dioxide,Nitrogen,Oxygen,Hydrogen,C,Plants take in oxygen from the air for respiration.,Science,IMG_6509.jpg
516,What do plants give out during respiration?,Oxygen,Nitrogen,Carbon dioxide,Glucose,C,Plants give out carbon dioxide during respiration.,Science,IMG_6509.jpg
517,What is the respiration that takes place in the presence of oxygen called?,Anaerobic respiration,Aerobic respiration,Photosynthesis,Transpiration,B,Respiration that takes place in the presence of oxygen is called aerobic respiration.,Science,IMG_6509.jpg
518,Aerobic respiration involves the utilization of oxygen for the breakdown of what?,Water,Minerals,Chemical bonds in glucose,Carbon dioxide,C,Aerobic respiration involves the utilization of oxygen for the breakdown of chemical bonds in glucose to release energy.,Science,IMG_6509.jpg
519,What is the chief source of energy for plants and animals?,Water,Sunlight,Aerobic respiration,Minerals,C,Aerobic respiration is the chief source of energy for plants and animals.,Science,IMG_6509.jpg
520,Animals and plants that use oxygen for respiration are called:,Anaerobes,Aerobes,Autotrophs,Heterotrophs,B,Animals and plants that use oxygen for respiration are called aerobes.,Science,IMG_6509.jpg
521,Which of the following organisms have aerobic respiration?,Majority of animals,Majority of plants,All bacteria,All fungi,A,Majority of animals have aerobic respiration.,Science,IMG_6509.jpg
522,In which year did the First Indian War of Independence take place?,1857,1878,1885,1905,A,The First Indian War of Independence took place in 1857.,History,IMG_6527.jpg
523,What was the Vernacular Press Act?,A law promoting local languages,A law restricting freedom of the press in local languages,A law promoting English language newspapers,A law promoting freedom of the press,B,The Vernacular Press Act restricted freedom of the press in local languages.,History,IMG_6527.jpg
524,In which year was the Indian National Congress formed?,1857,1878,1885,1905,C,The Indian National Congress was formed in 1885.,History,IMG_6527.jpg
525,When did the Partition of Bengal occur?,1885,1905,1906,1907,B,The Partition of Bengal occurred in 1905.,History,IMG_6527.jpg
526,In which year was the All-India Muslim League founded?,1905,1906,1907,1909,B,The All-India Muslim League was founded in 1906.,History,IMG_6527.jpg
527,When did the Split of INC occur?,1906,1907,1909,1910,B,The Split of INC occurred in 1907.,History,IMG_6527.jpg
528,What were the Minto-Morley Reforms?,Reforms related to the press,Reforms related to the partition of Bengal,Reforms related to Indian governance,Reforms related to the Muslim League,C,The Minto-Morley Reforms were related to Indian governance.,History,IMG_6527.jpg
529,In which year was the Indian Press Act passed?,1907,1909,1910,1911,C,The Indian Press Act was passed in 1910.,History,IMG_6527.jpg
530,When was the Partition of Bengal cancelled?,1910,1911,1916,1917,B,The Partition of Bengal was cancelled in 1911.,History,IMG_6527.jpg
531,In which year was the Home Rule League established?,1911,1916,1917,1919,B,The Home Rule League was established in 1916.,History,IMG_6527.jpg
532,What was the Champaran Satyagraha?,A movement for press freedom,A movement for home rule,A peasant revolt led by Gandhi,A movement for partition of Bengal,C,The Champaran Satyagraha was a peasant revolt led by Gandhi.,History,IMG_6527.jpg
533,What were the Montagu-Chelmsford Reforms?,Reforms related to the press,Reforms related to Indian governance,Reforms related to the partition of Bengal,Reforms related to the Muslim League,B,The Montagu-Chelmsford Reforms were related to Indian governance.,History,IMG_6527.jpg
534,In which year was the Rowlatt Act passed?,1917,1919,1920,1922,B,The Rowlatt Act was passed in 1919.,History,IMG_6527.jpg
535,What was the Jallianwala Bagh massacre?,A battle between the British and Indians,A peaceful protest,The killing of unarmed civilians by British forces,A riot between Hindus and Muslims,C,The Jallianwala Bagh massacre was the killing of unarmed civilians by British forces.,History,IMG_6527.jpg
536,When did the Non-Cooperation Movement take place?,1917-1919,1919-1920,1920-1922,1922-1924,C,The Non-Cooperation Movement took place from 1920-1922.,History,IMG_6527.jpg
537,What was the Chauri Chaura incident?,A peaceful protest,A violent clash between protesters and police,A meeting of the Indian National Congress,A meeting of the Muslim League,B,The Chauri Chaura incident was a violent clash between protesters and police.,History,IMG_6527.jpg
538,In which year was the Swaraj Party established?,1920,1922,1923,1927,C,The Swaraj Party was established in 1923.,History,IMG_6527.jpg
539,When was the Simon Commission established?,1923,1927,1930,1942,B,The Simon Commission was established in 1927.,History,IMG_6527.jpg
540,What was the Civil Disobedience Movement?,A movement for home rule,A movement for complete independence,A movement for non-cooperation,A movement for civil rights,B,The Civil Disobedience Movement was a movement for complete independence.,History,IMG_6527.jpg
541,In which year did the Quit India Movement begin?,1930,1942,1946,1947,B,The Quit India Movement began in 1942.,History,IMG_6527.jpg
542,What was the Cabinet Mission?,A mission to establish a new government,A mission to negotiate Indian independence,A mission to suppress the Quit India Movement,A mission to establish the Simon Commission,B,The Cabinet Mission was a mission to negotiate Indian independence.,History,IMG_6527.jpg
543,In which year did India gain independence?,1942,1946,1947,1950,C,India gained independence in 1947.,History,IMG_6527.jpg
544,What was the Mountbatten Plan?,A plan for the partition of India,A plan for economic development,A plan for educational reform,A plan for military expansion,A,The Mountbatten Plan was a plan for the partition of India.,History,IMG_6527.jpg
545,Approximately how many major languages are spoken in India?,7,17,70,844,B,There are 17 major languages spoken in India.,Geography,IMG_6527.jpg
546,Approximately how many dialects are spoken in India?,17,84,844,"3,00,000",C,There are 844 dialects spoken in India.,Geography,IMG_6527.jpg
547,What did India invent?,The printing press,The number system,The steam engine,The telephone,B,India invented the number system.,General Knowledge,IMG_6527.jpg
548,Which game was invented in India?,Cricket,Football,Chess,Tennis,C,Chess was invented in India.,General Knowledge,IMG_6527.jpg
549,What is India's rank in terms of size among the countries of the world?,3rd,5th,7th,9th,B,India is the 5th largest country in the world.,Geography,IMG_6527.jpg
550,Which of the following is true about India?,It is the smallest democracy in the world,It is the largest democracy in the world,It is the newest democracy in the world,It is not a democracy,B,India is the largest democracy in the world.,Civics,IMG_6527.jpg
551,Approximately how many mosques are there in India?,"30,000","3,00,000","3,000,000","30,000,000",B,"India has approximately 3,00,000 mosques.",Geography,IMG_6527.jpg
552,What is India one of the largest exporters of?,Agricultural products,Computer software products,Textiles,Automobiles,B,India is one of the largest exporters of computer software products.,Economics,IMG_6527.jpg
553,Who invented the human blood grouping system?,Aristotle,Carl Landsteiner,Femur,Stapes,B,Carl Landsteiner is credited with inventing the human blood grouping system.,Science,IMG_6516.jpg
554,What type of blood is carried through an artery?,Deoxygenated blood,Oxygenated blood,Mixed blood,All of the above,B,Arteries typically carry oxygenated blood away from the heart.,Science,IMG_6516.jpg
555,What is the function of haemoglobin?,Fight infection,Transport oxygen,Digest food,Clot blood,B,Haemoglobin is responsible for transporting oxygen in the blood.,Science,IMG_6516.jpg
556,Which of the following is known as the powerhouse of the cell?,Nucleus,Mitochondria,Ribosome,Cell membrane,B,Mitochondria are known as the powerhouse of the cell because they generate energy.,Science,IMG_6516.jpg
557,What part of the cell is considered the brain?,Mitochondria,Nucleus,Cytoplasm,Cell membrane,B,"The nucleus controls the cell's activities, hence it is called the brain of the cell.",Science,IMG_6516.jpg
558,Who is considered the father of anatomy?,Carl Landsteiner,Aristotle,Femur,Stapes,B,Aristotle is considered the father of anatomy.,Science,IMG_6516.jpg
559,Which of the following is the longest bone in the human body?,Tibia,Fibula,Femur,Humerus,C,"The femur, or thigh bone, is the longest bone in the human body.",Science,IMG_6516.jpg
560,How many teeth does an adult human typically have?,28,30,32,34,C,An adult human typically has 32 teeth.,Science,IMG_6516.jpg
561,Which part of the human body produces voice?,Esophagus,Vocal cord,Trachea,Lungs,B,The vocal cords in the larynx are responsible for producing voice.,Science,IMG_6516.jpg
562,What is the covering of the lungs called?,Pericardium,Pleura,Peritoneum,Meninges,B,The pleura is the membrane that covers the lungs.,Science,IMG_6516.jpg
563,What is the common pathway between the respiratory and gastrointestinal tracts?,Larynx,Pharynx,Esophagus,Trachea,B,The pharynx serves as a common pathway for both the respiratory and gastrointestinal tracts.,Science,IMG_6516.jpg
564,What is the cause of Diabetes Mellitus?,Vitamin deficiency,Insulin deficiency,Calcium deficiency,Iron deficiency,B,Diabetes Mellitus is often caused by a deficiency in insulin production or action.,Science,IMG_6516.jpg
565,Which hormone is the primary sex hormone in females?,Testosterone,Estrogen,Progesterone,Insulin,B,Estrogen is the primary sex hormone in females.,Science,IMG_6516.jpg
566,What is secreted by the lacrimal gland?,Saliva,Tears,Sweat,Mucus,B,The lacrimal gland is responsible for secreting tears.,Science,IMG_6516.jpg
567,Which of the following is a common but dangerous disease of the eye?,Cataracts,Glaucoma,Conjunctivitis,Myopia,B,Glaucoma is a common but dangerous eye disease that can lead to blindness.,Science,IMG_6516.jpg
568,What is the smallest bone in the human body?,Patella,Stapes,Radius,Ulna,B,"The stapes, located in the middle ear, is the smallest bone in the human body.",Science,IMG_6516.jpg
569,What is another name for the voice box?,Esophagus,Larynx,Pharynx,Trachea,B,The larynx is commonly known as the voice box.,Science,IMG_6516.jpg
570,What is digestion?,The process of building proteins,The process of breaking down food,The process of transporting oxygen,The process of filtering blood,B,Digestion is the process of breaking down food into smaller molecules that the body can absorb.,Science,IMG_6516.jpg
571,What are capillaries?,Large arteries,Tiny blood vessels that connect arteries and veins,Muscles in the heart,Nerves in the brain,B,Capillaries are the smallest blood vessels in the body and connect arteries and veins.,Science,IMG_6516.jpg
572,What is the cuticle?,The outer layer of skin,The waxy covering on plant leaves,A type of blood cell,A part of the eye,B,The cuticle is the waxy covering on plant leaves that helps prevent water loss.,Science,IMG_6516.jpg
573,What was the first vaccine targeted disease?,Polio,Measles,Smallpox,Tuberculosis,C,The first vaccine was developed to target smallpox.,Science,IMG_6516.jpg
574,What type of respiration occurs in the absence of oxygen?,Aerobic respiration,Anaerobic respiration,Cellular respiration,Photosynthesis,B,Anaerobic respiration is the respiration that takes place in the absence of oxygen.,Science,IMG_6510.jpg
575,What are the products of incomplete oxidation of food material in anaerobic respiration?,Oxygen and water,Carbon dioxide and water,Carbon dioxide and alcohol,Sugar and oxygen,C,"In anaerobic respiration, the incomplete oxidation of food material produces carbon dioxide and alcohol.",Science,IMG_6510.jpg
576,Which of the following organisms can perform anaerobic respiration?,Humans,Yeast,Plants,Fish,B,"Anaerobic respiration takes place in organisms like yeast, some bacteria, and parasitic worms.",Science,IMG_6510.jpg
577,Organisms are divided into two main groups based on their mode of nutrition. What are these two groups?,Producers and consumers,Autotrophs and heterotrophs,Herbivores and carnivores,Plants and animals,B,Organisms are divided into autotrophs and heterotrophs based on their modes of nutrition.,Science,IMG_6510.jpg
578,Which of the following is NOT a type of heterotrophic nutrition?,Saprotrophic nutrition,Parasitic nutrition,Holozoic nutrition,Autotrophic nutrition,D,"Saprotrophic, parasitic, and holozoic nutrition are types of heterotrophic nutrition. Autotrophic nutrition is not.",Science,IMG_6510.jpg
579,What does 'Sapro' mean?,Living,Rotten,Green,Growing,B,Sapro means rotten.,Science,IMG_6510.jpg
580,What do saprophytes feed on?,Living plants,Dead and decaying organic matter,Other animals,Sunlight,B,Saprophytes feed on dead and decaying organic matter.,Science,IMG_6510.jpg
581,Which of the following is an example of a saprophyte?,Rose,Fungi,Lion,Human,B,Fungi and many bacteria are saprophytes.,Science,IMG_6510.jpg
582,What do saprophytes do to complex organic matter?,Convert it into energy,Break it down into simpler substances,Absorb it directly,Store it for later use,B,Saprophytes break down complex organic matter into simpler substances outside their body.,Science,IMG_6510.jpg
583,What is the mode of nutrition in which organisms feed on other living organisms without killing them?,Saprotrophic nutrition,Parasitic nutrition,Holozoic nutrition,Autotrophic nutrition,B,"Parasitic nutrition is the mode of nutrition in which organisms feed on other living organisms, called their host, without killing them.",Science,IMG_6510.jpg
584,What are organisms called that obtain food from a living host?,Saprophytes,Parasites,Autotrophs,Heterotrophs,B,The organisms which obtain food in a manner are called parasites.,Science,IMG_6510.jpg
585,What is the organism called that is harmed by a parasite?,Prey,Host,Predator,Decomposer,B,"Parasites harm the host, which may be a plant or an animal.",Science,IMG_6510.jpg
586,What is the process of transformation of rock from one type to another called?,Metamorphosis,Rock Cycle,Igneous Formation,Sedimentation,B,The process of transformation of rock from one type to another is called the Rock Cycle.,Science,IMG_6523.jpg
587,The Delhi Sultanate was an Islamic empire based government that ruled the large part of the Indian subcontinent for how many years?,120 years,220 years,320 years,420 years,C,The Delhi Sultanate ruled the Indian subcontinent for 320 years.,History,IMG_6523.jpg
588,Which dynasty ruled the Delhi Sultanate from 1206-1290?,Khilji Dynasty,Tughlaq Dynasty,Sayyid Dynasty,Slave Dynasty,D,The Slave Dynasty ruled the Delhi Sultanate from 1206-1290.,History,IMG_6523.jpg
589,Which dynasty ruled the Delhi Sultanate from 1290-1320?,Slave Dynasty,Khilji Dynasty,Tughlaq Dynasty,Lodi Dynasty,B,The Khilji Dynasty ruled the Delhi Sultanate from 1290-1320.,History,IMG_6523.jpg
590,Which dynasty ruled the Delhi Sultanate from 1320-1414?,Slave Dynasty,Khilji Dynasty,Tughlaq Dynasty,Sayyid Dynasty,C,The Tughlaq Dynasty ruled the Delhi Sultanate from 1320-1414.,History,IMG_6523.jpg
591,Which dynasty ruled the Delhi Sultanate from 1414-1451?,Tughlaq Dynasty,Sayyid Dynasty,Lodi Dynasty,Khilji Dynasty,B,The Sayyid Dynasty ruled the Delhi Sultanate from 1414-1451.,History,IMG_6523.jpg
592,Which dynasty ruled the Delhi Sultanate from 1451-1526?,Sayyid Dynasty,Lodi Dynasty,Tughlaq Dynasty,Khilji Dynasty,B,The Lodi Dynasty ruled the Delhi Sultanate from 1451-1526.,History,IMG_6523.jpg
593,Who was the founder of the Slave or Mamluk Dynasty?,Jalaluddin Khilji,Ghiyasuddin Tughlaq,Qutb ud-din Aibak,Khizar Khan,C,Qutb ud-din Aibak was the founder of the Slave or Mamluk Dynasty.,History,IMG_6523.jpg
594,Who was the founder of the Khilji Dynasty?,Qutb ud-din Aibak,Jalaluddin Khilji,Ghiyasuddin Tughlaq,Khizar Khan,B,Jalaluddin Khilji was the founder of the Khilji Dynasty.,History,IMG_6523.jpg
